metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_Cont_T48-1	input_Cont_T48-2	input_Cont_T48-3	input_sgLDHAB_T48-1	input_sgLDHAB_T48-2	input_sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	geommean_sgLDHAB_T48	geommean_Cont_T48
a-KG	3.9230903448623478	1.9639610121239315	0.024767306717813353	0.029411176727403357	0.5767764376866823	15.16938135366209	('0/3', '0/3')	1.375059744036121	2.384042852983332	en	1280021.24849	1087730.89083	1605672.06536	15141020.448300002	20989621.8864	24554966.1982	0.13003770871002468	0.11050287868541755	0.16312066425883132	1.5381804082949524	2.1323414279388544	2.4945457316687496	2.015046921607733	0.1328364601448479
PEP	4.728040521506518	1.9639610121239315	0.024767306717813353	0.029411176727403357	0.5724512139773584	26.502205529451142	('0/3', '0/3')	1.3365618742193646	2.3348048560033767	en	19768.4387	30299.446457	20345.05623	449563.169703	670819.569178	752169.232006	0.06301938377759396	0.09659095862347199	0.06485757049367276	1.4331528328428365	2.1384913860470234	2.3978242397809706	1.944191854706707	0.07335962482617464
CMP	-7.1263916380411105	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.5433757535238792	0.007157186862773929	('0/3', '0/3')	1.420240642997498	2.613735769008847	en	1537727.62293	838984.12493	888432.94145	7490.226663	7490.226663	7490.226663	2.6265295181322355	1.4330343921208863	1.5174958886107606	0.012793749123388267	0.012793749123388267	0.012793749123388267	0.012793749123388268	1.7875387870521189
UTP	-0.9546787393304804	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.5071564793309159	0.515956470524619	('0/3', '0/3')	1.360186568492257	2.6819859824855854	en	5049872.848812	3759237.039068	3756702.388074	2067567.1725	2111074.909848	2244206.740987	4.541348092324602	3.3806799630576236	3.3784005527039516	1.8593621098390172	1.8984885959748374	2.0182139842116946	1.924183089086027	3.729351600396712
GTP	-3.7433610012528384	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.480953490614099	0.07466826395000431	('0/3', '0/3')	1.2691183454447246	2.6387548280900672	en	4429480.76691	2830226.8900629994	2385827.0728920004	340029.26543800003	208237.35419	175851.57536000002	2.747845012638889	1.755741869926061	1.4800567760086467	0.21093843056392209	0.12918082395361163	0.10909018454882162	0.14378485563771023	1.925648837021099
2_3-PG	0.8580882792148147	1.9639610121239315	0.024767306717813353	0.029411176727403357	0.4386241766217972	1.8126347891500918	('0/3', '0/3')	1.117873149456548	2.5485899068906814	en	1704283.84662	1566943.20859	1731889.94171	2555844.6068	3128002.6344000003	3445441.26913	2.3122305533410845	2.1258982002544036	2.3496842067639756	3.4675573562205235	4.243813773471581	4.674488107145085	4.097365221826659	2.2604471934182793
6-PG	-1.5393250907177911	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.4204968294010078	0.34404636572870745	('0/3', '0/3')	1.0186715414049528	2.4225427403484514	en	4835294.623232	2975614.11154	4462008.850759	1272239.434813	1390994.8016229998	1477360.701829	3.287546015293182	2.02313800454722	3.0337467642686455	0.8650032749447308	0.9457457660175779	1.004466463142267	0.9366468269467567	2.7224436013526603
AMP	-1.3998967561422502	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.4201281375324925	0.3789562599756713	('0/3', '0/3')	1.141209526648879	2.716336814171649	en	8161352.00563	4992785.84585	5596683.24172	2200378.69092	2266642.88004	2488413.22926	3.719020323677612	2.2751465712638046	2.5503346390137565	1.002683509505963	1.0328792253505064	1.1339370446149255	1.0550364223884006	2.78405856775168
Mal	0.6671736756128859	1.9639610121239315	0.024767306717813353	0.029411176727403357	0.409257410019335	1.5879590132484194	('0/3', '0/3')	1.0479324076189038	2.5605703939957865	en	16799414.335	19855378.282	18547202.624	25893012.374	30322020.648	31552071.084	2.9158194157527078	3.4462330857065706	3.219177314192886	4.494165493325474	5.262893977565135	5.476389809748494	5.05967566423013	3.186275981947273
P5P	-1.5367927150426626	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.4033657269071421	0.3446508037638864	('0/3', '0/3')	1.1259986180163732	2.791507911815192	en	620580.9305	348538.726362	358266.966603	138910.34797	154249.32171	148059.49287000002	3.5965588106151096	2.019946094907955	2.0763258294936744	0.8050508987999176	0.8939474768915816	0.858074503107542	0.8515695293400954	2.4708183472669027
UMP	-0.7328581243435386	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.38430924331258204	0.6017106827468238	('0/3', '0/3')	1.0964642537161615	2.853078016716711	en	10977306.989510002	8089179.65619	7899956.103259999	5042657.17414	5393280.61081	5619215.32339	5.277331304942222	3.88886646530952	3.7978973978994395	2.424253288225511	2.5928152169711707	2.701433144183278	2.570284879695029	4.271629129071826
Fru6P	-0.5920787734759911	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.3813438960643008	0.6633863473452086	('0/3', '0/3')	1.0355718433012386	2.7155852079683593	en	2201083.44753	1721309.2755	1927138.649998	1294975.58635	1347705.84829	1221381.3176	6.101068344154303	4.771207353831637	5.341735055748632	3.5894752491999546	3.7356355105303987	3.3854831361859437	3.5672923650551036	5.37739792103195
Fum	1.2845884840975015	1.9639610121239315	0.024767306717813353	0.029411176727403357	0.35142648583835184	2.4361255451363957	('0/3', '0/3')	0.8969799049619009	2.5523969908588255	en	643941.9878	1127217.0762500002	895552.0125399998	1726359.67825	2348829.4284	2317722.04404	0.9640493283063548	1.687563298872473	1.34073617268259	2.584543203834374	3.5164463191651802	3.469875271515248	3.1593704421706352	1.2968832614058674
PRPP	-2.722112828100598	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.2456905480426038	0.15155224955129326	('0/3', '0/3')	0.6929934173884954	2.8205945361330196	en	102830.6438000001	37976.36694000001	30914.46600000001	7490.226663	7490.226663	7490.226663	3.042188829869927	1.1235102206362875	0.9145877111254026	0.2215942937369072	0.2215942937369072	0.2215942937369072	0.22159429373690726	1.4621643320570314
Cit	1.1048328361473896	1.9639610121239315	0.024767306717813353	0.029411176727403357	0.23264092299012398	2.150739562104988	('0/3', '0/3')	0.6505226365722494	2.7962519586455787	en	3364257.09422	4786453.7466400005	4646609.65085	6683038.804260001	9671676.64116	11516670.836579995	1.153929472472614	1.6417383963800243	1.5937723167481765	2.2922610329522737	3.317354296029804	3.950181431118193	3.108548568769782	1.4453393723447203
GMP	-0.6088520195669993	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.1777342851107905	0.6557182621363002	('0/3', '0/3')	0.4599984553550076	2.588124486326698	en	5321079.08557	5051415.02809	3656173.09958	2787313.52948	3100731.88912	3205836.0898299995	5.435236516631937	5.159787137122964	3.734611950394619	2.847112030305239	3.1672544085528886	3.2746134950396115	3.090882656667985	4.713735814826981
FruBP	-0.7491201172832882	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.14773108698306286	0.5949663098171534	('0/3', '0/3')	0.4298701735717714	2.9098152755151343	en	7788246.218594	4098444.19467	4879799.554049999	3208705.2265000003	3013159.65634	3393015.46639	4.745957485981242	2.4974867718141964	2.973624686946844	1.9553026654008339	1.8361422104661076	2.067616598242425	1.9507282449941028	3.2787205137608644
Suc	0.21806772477161415	1.9639610121239315	0.024767306717813353	0.029411176727403357	0.0358782231522926	1.163174643446296	('0/3', '0/3')	0.11290377238909421	3.1468607547773644	en	19196375.301000003	23212397.876	22378110.517	23470817.976	26399075.917	25326809.333	8.386898649446026	10.141499389548123	9.77699914329161	10.254403161937217	11.53375940422339	11.065286006293563	10.938253223549232	9.403792702307351
