	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
Fumaric_acid_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	487594.4187999999	438651.41066	170958.61161000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151994.39399999997	12701.47524	45052.11487
Fumaric_acid_m+2	0.0	0.0	0.0	30673.960835	47461.779368	36458.587746	0.0	265560.946581	140096.00865299997	250882.05573	393719.19145	304526.4298	1159735.437	1023407.5029660001	911143.8068239999	2424613.3428	1401065.6997199997	1317014.4894400002	0.0	0.0	0.0	6224.891209000001	24291.512824000005	12225.841364	5981.454965999999	56385.47193299999	134414.456736	86529.93644399999	159245.80302800002	169598.15780400002	860140.8800459999	1024701.4614569999	977481.948408	956298.06225	1384460.8011600003	1441667.67584
Fumaric_acid_m+3	24453.945032000003	0.0	18164.111337	42943.54516899999	17798.167263	0.0	36109.739778	0.0	0.0	0.0	145373.23992	12181.057192	354363.60574999993	323863.13385000004	150764.80256799998	1649805.7732	1211201.6563	1063742.47224	0.0	0.0	0.0	18674.673627	0.0	0.0	0.0	81445.681681	19202.065248	0.0	55123.547202	0.0	161680.61655	150115.50072299998	219434.723112	740972.6707499999	870051.0539400001	1042634.6584199999
Fumaric_acid_m+4	18340.458774	18955.881827999998	0.0	0.0	0.0	18229.293873	24073.159852	24703.343868	18273.392433	0.0	0.0	48724.228768	45100.82255	71249.88944700001	26219.965664	1108776.3495999998	608874.3461399999	683834.4464400001	18380.376668999997	31993.674125	0.0	18674.673627	18218.634618	18338.762046	0.0	18795.157311	51205.50732799999	55626.387714	0.0	56532.71926800001	19401.673985999998	39160.565406	46546.759448	582645.1769999999	641424.49962	630729.60818
L-Malic_acid_m+0	945846676.8	988916076.5	949442181.95	987886203.1794	950595537.87	976023699.2459999	896080140.9408001	956454272.0645999	963193611.171	946964034.6483	935105616.7488	961394932.1664	1026367956.8736	1034222788.8408	1038032412.5531999	1023998457.54	949100296.2329999	917915839.5879998	1020108941.8	1030502399.46	992087763.4	971118459.83954	981181079.5408599	955557461.16285	924754356.8125	976320242.4144	1004696526.3060001	933381793.5668001	913612690.3245999	944812692.5594001	1013751766.6551	1047835169.4834	1062327525.8145001	937184237.592	938573185.284	957822084.864
L-Malic_acid_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1628121.759	2628823.0176	4298042.6892	24650033.325000003	19495384.38	13581985.296000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	740814.5283	1212389.4882	446590.6572	7520237.864	11382340.587000001	10770433.152
L-Malic_acid_m+2	945846.6768	1186699.2918	1139330.61834	9301753.2546	7489540.601399999	8077709.259000001	7793577.2776	11977588.623899998	12246892.625	15535142.576000001	15930575.983199999	17594930.8992	36469927.401599996	36803522.2464	37470115.752000004	70342778.025	52854153.208000004	42289363.30799999	918098.04762	927452.1595139999	1190505.31608	6160554.12042	6625592.857209999	6059398.09293	6242674.2475	9591154.903199999	10376574.087000001	10145454.2779	8614618.2906	11841447.0333	27515968.194000002	32954950.633799996	34164185.2758	31808573.668	40516955.484	42228628.992000006
L-Malic_acid_m+3	94584.66768	98891.60765	0.0	3200603.2704000003	2784572.7876999998	2659733.5365	2990558.7228	4771559.6957	4310906.204	6214057.0304	6909647.414399999	7413594.48	15847051.7876	16649212.4448	16751345.8656	53388364.86	39748922.597	34469432.38	204021.78836	103050.239946	99208.77634	2346877.7601599996	2472236.14075	2693065.81908	2795227.275	3757359.6528000003	4069244.74	4456414.4959	3983103.0806	5391227.9176	11958863.099699998	15099759.989400001	14514196.359000001	24491585.476000004	32998345.188	34124144.64
L-Malic_acid_m+4	472923.3384	494458.03825000004	379776.87278000003	1600301.6352000001	1344276.5181999998	985086.495	1178098.8908	1850196.6167000001	1763552.5379999997	2524460.6686	2687085.1055999994	2866589.8656	5101448.178200001	5148111.7428	5400104.9172	30061016.25	21986461.273	20681659.427999996	204021.78836	309150.719838	297626.32902	977865.7334	988894.4563	769447.3768800001	1397613.6375	1285412.5128	1424235.6589999998	1896346.594	1945236.3882	2117982.3962	4339056.5229	5069992.4052	4912497.2292	15243725.4	20780603.457000002	21434228.351999998
L-Glutamic_acid_m+0	199291894.52209005	199114719.73182	191565519.47362	128141864.6874	114713530.9008	106100127.4216	79254923.79089999	122909622.2116	119201076.7704	94961312.4832	100379614.2785	105477759.1384	114670529.267	118326492.1068	126001624.045	139544380.24	96415410.42899999	75836189.76	196669189.44564	186092019.06732	167596675.4119	83816377.1382	102372583.626	99862878.32640001	80760972.5637	106285687.7304	109994144.801	65166291.7423	59496610.768	78906146.33	104735227.4864	117320564.27520001	112282256.6732	62998993.521	82674441.85	82220688.43
