metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_Cont_T48-1	input_Cont_T48-2	input_Cont_T48-3	input_sgLDHAB_T48-1	input_sgLDHAB_T48-2	input_sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	geommean_sgLDHAB_T48	geommean_Cont_T48
ATP_m+8	-46.84202910648501	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.8521012275284734	7.927644762333976e-15	('0/3', '0/3')	1.8329394189565675	2.151081772611716	en	93969.97342	86781.54677	87358.33995	6709.617068	2.3e-16	2.3e-16	2.151081772611716	1.986530342215331	1.9997338076512452	0.1535909232587635	5.264966985671142e-21	5.264966985671142e-21	1.620760903079077e-14	2.0444418886926883
CTP_m+6	-65.7048992470592	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.8437167879722823	1.6628553212955444e-20	('0/3', '0/3')	1.832469312929888	2.1719009732328427	en	12766.32784	13698.87236	15131.05822	2.3e-16	2.3e-16	2.3e-16	1.832469312929888	1.9663260677663619	2.1719009732328427	3.301403091445866e-20	3.301403091445866e-20	3.301403091445866e-20	3.301403091445875e-20	1.9853820408583258
Sed7P_m+5	-5.171774859350798	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.8341365003326899	0.027742183275110764	('0/3', '0/3')	1.7937470795206232	2.1504239159960017	en	605341.4802	637822.5252	540507.3817	16902.99708	19660.48394	13408.0588	2.0847383691661694	2.1965999927240674	1.861455912578869	0.058212311099079594	0.0677088330582459	0.04617607672806578	0.056670763952837634	2.0427651057903757
Sed7P_m+2	-5.350576561728787	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.8183201003057168	0.024508456489923364	('0/3', '0/3')	1.7708680946730535	2.1640285922482825	en	662268.9626	700049.7472	583869.7057	20587.08582	16530.7318	11709.54919	2.0820649076841913	2.200841492791873	1.8355905131433778	0.06472241847032441	0.05196990727754683	0.036812900543590786	0.04984277788787777	2.033697140755094
CTP_m+0	-3.6171002545408295	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.8105152660495478	0.08149750740117885	('0/3', '0/3')	1.8022994153688439	2.223646476337519	en	2274396.788	1981709.543	2016225.114	247532.498	134798.5378	147421.5002	2.363740203543737	2.059555546002374	2.095426966174714	0.25725613063353026	0.14009372720621785	0.15321254792832176	0.17675006655609077	2.168778803086855
Pyr_m+0	2.2987685915501355	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.808092626873247	4.920376086816883	('0/3', '0/3')	1.7291000322347894	2.1397299947225066	en	3578369.153	2338703.712	2323819.295	13598521.37	13425354.23	12689372.77	0.6791083044084666	0.4438427240069903	0.44101793685988894	2.5807479315823953	2.547884010115246	2.408208336643256	2.5111525640740213	0.5103578506533533
ADP_m+6	-72.86439893300731	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7976445321629136	1.1631354842763272e-22	('0/3', '0/3')	1.7989427189826532	2.255318812384501	en	2262839.813	1893108.815	1804941.804	2.3e-16	2.3e-16	2.3e-16	2.255318812384501	1.8868166892909575	1.7989427189826532	2.2923554900721344e-22	2.2923554900721344e-22	2.2923554900721344e-22	2.2923554900721307e-22	1.9708413345315268
Fru1P_m+4	65.64288548382407	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7969037346252675	5.760730157017797e+19	('0/3', '0/3')	1.7379806413739642	2.1809166726909925	en	2.3e-16	2.3e-16	2.3e-16	13624.87341	14636.5555	11663.92574	3.427109846431616e-20	3.427109846431616e-20	3.427109846431616e-20	2.030171209556318	2.1809166726909925	1.7379806413739642	1.974265504375123	3.4271098464316144e-20
UTP_m+6	-67.90308192620459	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7965504579723303	3.62356071162812e-21	('0/3', '0/3')	1.8002229630472595	2.260023762499417	en	72820.1854	60542.45522	58004.95203	2.3e-16	2.3e-16	2.3e-16	2.260023762499417	1.878976092764203	1.8002229630472595	7.138205739515541e-21	7.138205739515541e-21	7.138205739515541e-21	7.138205739515574e-21	1.9699423599027466
ATP_m+0	-5.0399767307779	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7931994924215074	0.03039595735894559	('0/3', '0/3')	1.8010869172041835	2.2706607031552197	en	10165230.38	8461788.647	8340880.301	433148.129	237546.069	195818.8416	2.3152609432843234	1.9272803500126672	1.8997419312315567	0.09865501402737316	0.054104148674141796	0.04460024012910365	0.061976775301725455	2.0389808608375866
Fru6P_m+3	66.42875509593105	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7926457115687	9.932254941015417e+19	('0/3', '0/3')	1.708646893477738	2.155624976632005	en	2.3e-16	2.3e-16	2.3e-16	19805.14418	24986.12418	24090.74225	1.9842763169416103e-20	1.9842763169416103e-20	1.9842763169416103e-20	1.708646893477738	2.155624976632005	2.0783777958356366	1.9708338253283266	1.9842763169416187e-20
IsoCit_m+0	2.315953441938039	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7902360876469676	4.979336247840997	('0/3', '0/3')	1.6975745146292542	2.148186524465121	en	165647.0647	157452.5473	178652.4617	749160.8053	879399.2573	873163.6787	0.49289066253344654	0.46850748908124684	0.5315888353954286	2.229163350024683	2.616694013546368	2.598139754990687	2.4746803759250096	0.4969900108670132
Sed7P_m+3	-47.595570641061386	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7872657575041015	4.7022484969189686e-15	('0/3', '0/3')	1.7135985828845102	2.1766456454516665	en	156881.1697	149114.5709	129459.487	5952.314098	2.3e-16	2.3e-16	2.1766456454516665	2.068888076520243	1.7961838835075732	0.08258530062306302	3.1911318573874916e-21	3.1911318573874916e-21	9.439103563041325e-15	2.0073595789814305
ADP_m+2	65.8343823913095	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7838204068054248	6.578454054145941e+19	('0/3', '0/3')	1.771925683272886	2.2606271384214525	en	2.3e-16	2.3e-16	2.3e-16	13622.2779	17379.3356	14630.93699	2.991738313845174e-20	2.991738313845174e-20	2.991738313845174e-20	1.771925683272886	2.2606271384214525	1.9031275982798952	1.968101303965852	2.991738313845173e-20
Fru1P_m+3	68.92945513046087	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7768627100426708	5.621258781683899e+20	('0/3', '0/3')	1.7063038938643553	2.1964033951000594	en	2.3e-16	2.3e-16	2.3e-16	112081.747	133646.8532	144274.8449	3.501461264596471e-21	3.501461264596471e-21	3.501461264596471e-21	1.7063038938643553	2.0346055635435256	2.1964033951000594	1.9682619882339116	3.5014612645965055e-21
Sed7P_m+6	-3.8514655848708497	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7764258544185135	0.069277679404884	('0/3', '0/3')	1.7836050598351547	2.297199468159062	en	819297.5221	649191.811	668617.0648	47515.3747	49960.19778	49809.68769	2.438628359534606	1.9323109351342567	1.9901299490211992	0.14142889137554385	0.14870587529910204	0.14825788398462897	0.14609253353729917	2.1087965819911663
IsoCit_m+5	-66.2117344222124	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7755135094421157	1.1702586879009177e-20	('0/3', '0/3')	1.65666010712548	2.136210506915912	en	16603.64546	21356.02159	21409.87263	2.3e-16	2.3e-16	2.3e-16	1.65666010712548	2.1308374176199414	2.136210506915912	2.2948684706428342e-20	2.2948684706428342e-20	2.2948684706428342e-20	2.2948684706428454e-20	1.9609924663401817
Fru1P_m+5	1.6465377690333218	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7731372700118457	3.1308139300320614	('0/3', '0/3')	1.7132506225576742	2.2159721035456283	en	35236.83148	27732.10071	33047.04002	93671.58907	102404.5391	103313.4494	1.033109846944945	0.8130783931645915	0.9689072775009244	2.746360469502619	3.002402125063846	3.02905049671022	2.9231042464813126	0.9336563308479269
UDP_m+6	-68.22901273073967	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7719259784363341	2.8908169567524798e-21	('0/3', '0/3')	1.7813921694903423	2.3077240813929487	en	93790.95788	74169.29108	72399.67693	2.3e-16	2.3e-16	2.3e-16	2.3077240813929487	1.8249334796660381	1.7813921694903423	5.659144023238098e-21	5.659144023238098e-21	5.659144023238098e-21	5.659144023238103e-21	1.9576279328302888
Serine_m+2	-7.591713701266103	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.764298092959724	0.005184017481935513	('0/3', '0/3')	1.7679271629783304	2.3131382627582906	en	54318489.3437874	52561209.0184473	68466278.1895217	403334.499086775	223435.508362381	302184.065009038	1.8411626939894734	1.7815984642587743	2.320711763558464	0.013671301280443944	0.007573500800173487	0.01024273749020166	0.010197824273936361	1.9671662584997465
Sed7P_m+4	-3.626911335785309	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7550298506836444	0.08094516195072311	('0/3', '0/3')	1.66234790917572	2.2016982608972895	en	192868.0002	183060.8439	153732.7976	12448.13397	17510.41294	13206.69704	2.3536052292697573	2.2339266183648374	1.8760308395712249	0.15190696837246775	0.21368293039550487	0.16116385912900352	0.17359547287443977	2.1446059120879797
ADP_m+7	-71.48116764340638	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.754920114545036	3.034061741869051e-22	('0/3', '0/3')	1.7252605888369448	2.285355172814145	en	884280.4492	737953.8822	667561.098	2.3e-16	2.3e-16	2.3e-16	2.285355172814145	1.9071853544990145	1.7252605888369448	5.944174048208203e-22	5.944174048208203e-22	5.944174048208203e-22	5.944174048208191e-22	1.9591473588623958
ATP_m+5	-1.4090518811130714	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7490341795915554	0.376559074880969	('0/3', '0/3')	1.7350622547328745	2.3163993072772664	en	5678075.714	4949649.136	4996347.646	2099566.059	1873065.002	1906536.855	3.4566763791485142	3.013227740394314	3.041656673819845	1.2781654856614395	1.1402770718712478	1.1606539335862396	1.1915165394876845	3.164222080862943
Sed7P_m+0	-3.6600510045296883	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7485776607528496	0.07910699035317573	('0/3', '0/3')	1.7498550316382744	2.337573138207776	en	236909.2404	288043.8278	234957.2936	29278.09503	20408.35779	13283.82713	2.015550572142341	2.4505878324717294	1.998944012250929	0.24908898061265455	0.1736279984295627	0.11301469426395343	0.16970829209855576	2.1453008304435244
Sed7P_m+7	-3.063311045357527	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.7448856946770319	0.11963313656405505	('0/3', '0/3')	1.6783005229767252	2.2530980725900553	en	7022665.085	5477495.504	6294526.142	727767.9574	786157.6519	724600.9852	2.5123201219818387	1.9595441340577973	2.2518323874884474	0.26035501641890435	0.2812436110810721	0.2592220493917836	0.26675148863999526	2.229745840502717
