metabolite_or_isotopologue	sgLDHAB_T0-1	sgLDHAB_T0-2	sgLDHAB_T0-3	Cont_T0-1	Cont_T0-2	Cont_T0-3	sgLDHAB_T24-1	sgLDHAB_T24-2	sgLDHAB_T24-3	Cont_T24-1	Cont_T24-2	Cont_T24-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3
CDP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDP_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDP_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDP_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDP_m+5	0.0	0.0	0.0	0.0	0.0	0.0	47394.22536	42419.88685	34793.04257	148402.2683	86044.42587	122381.3444	15333.35164	16555.13385	15649.08024	44572.05736	35048.29257	29227.14757
CDP_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25385.66391	17850.17032	20389.19349	0.0	0.0	0.0	0.0	0.0	0.0
CDP_m+7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	359301.0161	182498.4148	261588.8332	0.0	0.0	0.0	81099.65162	64056.11257	57432.85182
CDP_m+8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120542.6558	67704.50671	92630.1573	0.0	0.0	0.0	34791.9242	23621.50397	25138.10448
CDP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMP_m+0	1796741.187	1468377.458	1641099.636	1588208.87	2032859.354	1624673.181	361649.7837	326256.6021	336613.1459	754741.1153	662176.4156	729579.9123	0.0	0.0	0.0	1355382.944	720639.0208	774100.527
CMP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMP_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMP_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
