	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
L-Proline	10163013.133200001	10268575.81216	10398161.669999998	10452102.21	11990310.5	10305873.90392	8907667.46425	8037044.5	12960902.42636	7676834.5611000005	11466917.685	12366704.06148	11791653.8957	8672186.0	9245458.24815	12618360.5	13040415.94802	13612410.902999999	10944300.5	10758271.0	13926902.5	12099401.481199998	13279170.6346	10640208.2	12888881.4323	13701414.8	15324109.930499999	11753594.2	12290463.93016	12410159.2	12445663.5	10931880.71048	10999012.437652	8779003.355099998	17888135.779850002	15283255.754403
L-Serine	88847214.0	89576384.0	93005312.42	77975144.0	86578464.0	87702773.93	83964394.0	80870066.0	92405667.0	83905513.0	90557675.0	89257839.0	89453284.0	92352490.0	91719782.0	84717044.0	83788133.0	90314184.21	90857363.0	88039938.0	91032414.04	96563053.62	91879998.0	92671218.0	93591116.0	97047288.0	94147757.0	94640851.0	92980176.0	92067262.0	94663736.0	92968663.0	96287225.0	92117087.0	88364299.0	95141035.0
L-Tryptophan	24533810.0	25054302.0	22909352.0	20868763.0	22220041.0	22236603.0	24279068.0	20023956.0	23765251.0	23145335.0	25867560.0	27123160.0	23202510.0	22663988.0	24122530.0	24395929.0	24496865.0	23498347.0	23449673.0	21764647.0	23280553.0	22983710.0	21899630.0	22428536.0	21409864.0	22558447.0	23657441.0	22652894.0	24201043.0	22873427.0	22019432.0	20908830.0	21350804.0	23128978.0	23949561.0	25765295.0
L-Valine	582679195.1	584444708.3	615018336.4	565481172.8	603555744.2	599076855.8	551357159.9	562592758.9	647597964.2	585415448.2	620193447.5	611457586.3	619478419.7	644506111.9	626309431.5	644393119.8	647997726.9	675979176.5	612022926.0	608815730.8	619447826.1	637780162.6	612326355.4	621536145.9	616908204.7	626557384.3	622025016.58	610398084.1	615460074.2	619304751.1	640407359.3	614200229.0	624294571.5	643157450.6	627757133.3	631799168.7
L-Arginine	84626434.0	84484694.0	87191500.0	81257022.0	86245132.0	85714232.0	82206368.0	80084412.0	87211809.0	83408656.0	83855096.0	82571842.0	86641249.0	86882784.0	86903362.0	86947448.0	87311063.0	88002706.0	84191213.0	84213740.0	82485251.0	83462000.0	82762812.0	82154281.0	82574649.0	82866486.0	82949954.0	82497796.0	83629208.0	84266252.0	82967762.0	84035328.0	81295004.0	83234464.0	81808476.0	83776788.0
L-Asparagine	3617749.87	3435790.2	3279901.2	2806808.06	3135146.4	3084823.2952860002	2756887.13	2910381.68	3400968.55	2966979.42	3528623.46	3372777.56	3277625.0	3493841.6	3466305.5	4228403.8	4066468.0	3422219.3	3512651.58829	3293797.9	3193591.3	3413033.6	3493789.4	3540365.49	3311566.8	3892175.2	3742585.61	3262869.5	3519631.2	3036639.3692620005	3626271.4913850003	3770870.5	3534957.41	4020027.07	3647923.6	4558513.0
L-Threonine	288422799.6	281046878.8	287051657.92	264517605.95	282612255.1	285819872.7	263723502.7	265459176.0	295983990.26	272909839.56	295401792.64	295682740.83	285555405.15	296415754.1	298273072.47	298214220.91	298462429.8	318361191.9	290546535.25	286439008.4	290064905.92	296900636.9	290067485.6	297366949.89	299609941.1	291060569.6	289859883.78	289907205.36	297512487.5	291015153.58	297676903.72	295430226.67	290136953.69	310001577.8	291010451.2	316879862.4
L-Lysine	119302046.0	122886832.0	127421434.0	120841061.0	124253320.0	123177094.0	117582718.0	117709502.38	126654476.0	120287632.0	120723000.0	119223931.0	125467213.74	127266006.0	127154898.0	127822750.0	125298386.0	128619064.0	121603236.88	120863076.0	120653048.0	121984609.13	118770396.0	119452329.0	120443162.0	118992586.0	120252754.0	120770372.0	122085693.0	121674290.0	120428234.0	120580515.0	120960713.0	120835466.0	119718732.0	121650481.0
Ile_Leu	2121652817.0	2213229396.0	2321134538.0	2017575489.0	2161373994.0	2221540964.0	2046957086.0	2033604960.0	2430984755.0	2156945470.0	2319014054.0	2321561041.0	2364111194.0	2380146151.0	2496773912.0	2328352604.0	2346826938.0	2513947829.0	2321936936.0	2220927130.0	2281602006.0	2392608280.0	2253203047.0	2320425643.0	2399699104.0	2349679362.0	2370834690.0	2340515606.0	2327804840.0	2319551482.0	2372527921.0	2335570654.0	2283901785.0	2456699991.0	2364110650.0	2439241129.0
L-Tyrosine	532113611.0	547731755.0	562064332.0	497199864.0	542044261.0	546532905.0	494911983.0	504090449.0	603424513.0	515112832.0	558064601.0	554200397.0	568483936.0	594447688.0	593819006.0	590665228.0	594570532.0	624995326.0	559987170.0	538109172.0	560564710.0	581992724.0	550642580.0	566180679.0	574246078.0	580179901.0	582044424.0	549932024.0	555679773.0	549787024.0	592410370.0	571276547.0	569989024.0	608615256.0	594001198.0	596486074.0
