	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
L-Histidine_PARENT	1.0304	1.0267	1.0384	1.04	1.0316	1.0309	1.0423	1.0447	1.0355	1.0355	1.0342	1.0467	1.0286	1.0339	1.0342	1.0245	1.0199	1.028	1.0203	1.0303	1.029	1.0372	1.0363	1.0215	1.036	1.0423	1.031	1.0455	1.0306	1.0343	1.0256	1.0234	1.0222	1.0212	1.0189	1.0223	1.0088	1.0092	1.0054	1.0086	1.0101	1.0053	1.014	1.0083	1.0068	1.0112	1.0104	1.0084	1.0077	1.0107	1.0135	1.0079	1.0092	1.011	1.0099	1.0136	1.0095	1.0099	1.0069	1.0062	1.0114	1.0105	1.0064	1.0067	1.0089	1.0066	1.0109	1.0095	1.0043	1.0092	1.0085	1.0125
L-Histidine_C13-label-1	-0.0304	-0.0267	-0.0384	-0.04	-0.0316	-0.0309	-0.0423	-0.0447	-0.0355	-0.0355	-0.0342	-0.0467	-0.0286	-0.0339	-0.0342	-0.0245	-0.0199	-0.028	-0.0203	-0.0303	-0.029	-0.0372	-0.0363	-0.0215	-0.036	-0.0423	-0.031	-0.0455	-0.0306	-0.0343	-0.0256	-0.0234	-0.0222	-0.0212	-0.0189	-0.0223	-0.0088	-0.0092	-0.0054	-0.0086	-0.0101	-0.0053	-0.014	-0.0083	-0.0068	-0.0112	-0.0104	-0.0084	-0.0077	-0.0107	-0.0135	-0.0079	-0.0092	-0.011	-0.0099	-0.0136	-0.0095	-0.0099	-0.0069	-0.0062	-0.0114	-0.0105	-0.0064	-0.0067	-0.0089	-0.0066	-0.0109	-0.0095	-0.0043	-0.0092	-0.0085	-0.0125
L-Histidine_C13-label-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine_C13-label-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine_C13-label-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline_PARENT	0.9717	0.9719	0.9875	0.9623	0.9859	0.9402	0.9461	0.95	0.9606	0.9342	0.9655	0.9774	0.9197	0.9378	0.9567	0.9177	0.9083	0.9128	0.9813	0.9779	0.9857	0.9688	0.9455	0.9931	0.9602	0.9617	0.9705	0.9329	0.9272	0.9287	0.9523	0.9263	0.9332	0.9541	0.9174	0.9337	0.9939	0.9872	0.975	0.9946	1.0101	0.9811	0.9545	1.0017	0.9877	0.9783	0.9892	0.9771	0.9851	1.0041	0.9879	1.0066	0.9809	0.9924	1.0215	1.0073	1.0077	0.9799	0.9998	1.0186	0.9869	1.0	0.9695	1.0036	0.9802	1.0143	1.0121	0.9986	0.9778	0.971	0.9895	0.9737
L-Proline_C13-label-1	0.0296	0.0306	0.0143	0.0118	-0.004	0.0439	0.0279	0.0284	0.0118	0.0234	-0.0143	-0.0023	0.0287	0.0119	-0.0024	0.0085	0.0241	0.0221	0.0208	0.0244	0.0162	0.015	0.0308	-0.0126	0.0167	0.0061	0.0129	0.0337	0.0347	0.0307	0.0162	0.0346	0.0282	-0.0046	0.0214	0.0084	0.0076	0.0147	0.0273	0.0069	-0.0093	0.021	0.0488	-0.0005	0.0141	0.0239	0.0125	0.0252	0.0169	-0.0031	0.0139	-0.0056	0.0212	0.0092	-0.0212	-0.0064	-0.0068	0.0223	0.0014	-0.0182	0.0149	0.0013	0.0331	-0.0025	0.0219	-0.0137	-0.0114	0.0028	0.017	0.0189	0.0054	0.0235
L-Proline_C13-label-2	-0.0025	-0.0026	-0.0019	0.026	0.0187	0.0165	0.0248	0.0213	0.0278	0.0418	0.0411	0.0199	0.045	0.0392	0.0384	0.043	0.0413	0.0354	-0.0021	-0.0023	-0.0019	0.0168	0.0222	0.0202	0.0214	0.0302	0.014	0.0313	0.0331	0.0353	0.0271	0.031	0.0304	0.0363	0.032	0.0387	-0.0016	-0.0019	-0.0024	-0.0015	-0.0008	-0.0021	-0.0033	-0.0012	-0.0018	-0.0023	-0.0018	-0.0023	-0.002	-0.0011	-0.0018	-0.001	-0.0021	-0.0016	-0.0003	-0.001	-0.0009	-0.0022	-0.0013	-0.0004	-0.0019	-0.0013	-0.0027	-0.0011	-0.0022	-0.0006	-0.0007	-0.0014	-0.002	-0.002	-0.0015	-0.0022
L-Proline_C13-label-3	0.0	0.0	0.0	-0.0001	-0.0006	-0.0006	-0.0009	-0.0007	-0.0009	0.0007	0.0034	0.0014	0.0033	0.006	0.0022	0.0149	0.0139	0.0128	0.0	0.0	0.0	-0.0006	-0.0008	-0.0007	-0.0007	0.001	0.0017	0.0008	0.0053	0.0023	0.0036	0.0019	0.0036	0.0057	0.0183	0.0108	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0073	0.0125	0.0067	0.0052
L-Proline_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0021	0.0011	0.0	0.0	0.0037	0.0037	0.0034	0.0043	0.0053	0.0097	0.011	0.0153	0.0	0.0	0.0	0.0	0.0023	0.0	0.0025	0.0009	0.0	0.0014	-0.0001	0.0018	0.0009	0.0063	0.0032	0.0072	0.0085	0.0065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0002	-0.0003	-0.0001	-0.0001
L-Proline_C13-label-5	0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007	0.0	0.0007	0.0	0.0	0.0008	-0.0001	0.0062	0.0015	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009	0.0	0.0	0.0012	0.0	-0.0001	0.0013	0.0013	0.0024	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Serine_PARENT	1.0092	1.0122	1.0081	1.0094	1.0096	1.0086	1.009	1.0056	1.008	1.0075	1.009	1.0088	1.0065	1.0061	1.0066	1.0063	1.0063	1.0067	1.0069	1.0099	1.0082	1.0068	1.006	1.006	1.0096	1.0094	1.0057	1.0078	1.0079	1.0046	1.0049	1.0077	1.0064	1.0079	1.0071	1.0073	1.0087	1.0085	1.0074	1.0072	1.006	1.0056	1.0061	1.0078	1.0067	1.0056	1.0071	1.0064	1.0059	1.0061	1.0063	1.0055	1.0063	1.0078	1.0063	1.0052	1.0071	1.0055	1.007	1.0061	1.0073	1.007	1.0067	1.0075	1.0068	1.0078	1.006	1.0064	1.0071	1.008	1.0067	1.0065
L-Serine_C13-label-1	-0.0091	-0.0121	-0.0079	-0.0092	-0.0094	-0.0084	-0.0088	-0.0053	-0.0078	-0.0073	-0.0088	-0.0086	-0.0063	-0.0059	-0.0064	-0.0061	-0.006	-0.0065	-0.0067	-0.0098	-0.008	-0.0066	-0.0058	-0.0058	-0.0094	-0.0093	-0.0055	-0.0076	-0.0077	-0.0043	-0.0046	-0.0075	-0.0062	-0.0077	-0.0069	-0.0071	-0.0085	-0.0083	-0.0073	-0.007	-0.0057	-0.0055	-0.0059	-0.0076	-0.0065	-0.0053	-0.0069	-0.0062	-0.0057	-0.0059	-0.0061	-0.0052	-0.0061	-0.0077	-0.0061	-0.0049	-0.007	-0.0053	-0.0068	-0.0058	-0.007	-0.0068	-0.0064	-0.0073	-0.0066	-0.0076	-0.0058	-0.0061	-0.0069	-0.0078	-0.0065	-0.0063
L-Serine_C13-label-2	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0001	-0.0002	-0.0003	-0.0001	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002
L-Serine_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_PARENT	1.0844	1.0903	1.1111	1.0999	1.1116	1.0856	1.07	1.1171	1.0791	1.087	1.1078	1.1087	1.0816	1.0866	1.0754	1.093	1.0856	1.089	1.0906	1.0928	1.1093	1.0716	1.0989	1.0731	1.0912	1.1244	1.0907	1.1071	1.1127	1.1003	1.0965	1.0854	1.0977	1.068	1.0663	1.0895	1.0479	1.0278	1.0573	1.0411	1.0528	1.0536	1.0458	1.058	1.0256	1.0313	1.0372	1.037	1.0401	1.0463	1.0188	1.0451	1.0412	1.0303	1.0355	1.0337	1.0406	1.0436	1.049	1.034	1.0498	1.055	1.0343	1.043	1.0422	1.0415	1.0394	1.0437	1.0425	1.0428	1.0362	1.0379
L-Tryptophan_C13-label-1	-0.0844	-0.0903	-0.1111	-0.0999	-0.1116	-0.0856	-0.07	-0.1171	-0.0791	-0.087	-0.1078	-0.1087	-0.0816	-0.0866	-0.0754	-0.093	-0.0856	-0.089	-0.0906	-0.0928	-0.1093	-0.0716	-0.0989	-0.0731	-0.0912	-0.1244	-0.0907	-0.1071	-0.1127	-0.1003	-0.0965	-0.0854	-0.0977	-0.068	-0.0663	-0.0895	-0.0479	-0.0278	-0.0573	-0.0411	-0.0528	-0.0536	-0.0458	-0.058	-0.0256	-0.0313	-0.0372	-0.037	-0.0401	-0.0463	-0.0188	-0.0451	-0.0412	-0.0303	-0.0355	-0.0337	-0.0406	-0.0436	-0.049	-0.034	-0.0498	-0.055	-0.0343	-0.043	-0.0422	-0.0415	-0.0394	-0.0437	-0.0425	-0.0428	-0.0362	-0.0379
L-Tryptophan_C13-label-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_C13-label-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_C13-label-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_C13-label-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_C13-label-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_C13-label-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_C13-label-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan_C13-label-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine_PARENT	1.0026	1.003	1.0029	1.0018	1.0034	1.0034	1.0018	1.0027	1.0039	1.0025	1.0032	1.0036	1.0027	1.0027	1.0031	1.0015	1.0025	1.0031	1.0032	1.0041	1.0031	1.0041	1.0034	1.0027	1.0034	1.0028	1.0025	1.0048	1.0033	1.0039	1.004	1.0026	1.0037	1.0022	1.0007	1.0015	1.0022	1.003	1.0017	1.0026	1.0021	1.0026	1.0027	1.0016	1.0026	1.0009	1.0018	1.0022	1.0021	1.0022	1.002	1.0022	1.0026	1.0026	1.0031	1.002	1.0027	1.0021	1.0025	1.0013	1.0022	1.0028	1.0017	1.0028	1.0031	1.003	1.0013	1.0032	1.0027	1.0028	1.0022	1.0017
L-Valine_C13-label-1	-0.0018	-0.0021	-0.0023	-0.0009	-0.0025	-0.0026	-0.0015	-0.0018	-0.0033	-0.0017	-0.0024	-0.0028	-0.0018	-0.0021	-0.0025	-0.001	-0.0018	-0.0025	-0.0027	-0.0035	-0.0024	-0.0033	-0.0028	-0.0019	-0.0025	-0.002	-0.0019	-0.004	-0.0025	-0.0032	-0.0034	-0.0019	-0.0031	-0.0018	0.0001	-0.0008	-0.0017	-0.0025	-0.0012	-0.0018	-0.0015	-0.0023	-0.0021	-0.001	-0.0018	-0.0001	-0.0011	-0.0018	-0.0014	-0.0016	-0.0015	-0.0017	-0.0022	-0.0019	-0.0025	-0.0013	-0.0019	-0.0014	-0.0017	-0.0008	-0.0015	-0.0021	-0.0011	-0.0022	-0.0026	-0.0023	-0.0007	-0.0028	-0.002	-0.0023	-0.0017	-0.0011
L-Valine_C13-label-2	-0.0008	-0.0009	-0.0007	-0.0009	-0.001	-0.0008	-0.0004	-0.0008	-0.0006	-0.0008	-0.0008	-0.0008	-0.0009	-0.0006	-0.0006	-0.0006	-0.0008	-0.0005	-0.0005	-0.0005	-0.0008	-0.0009	-0.0006	-0.0008	-0.0009	-0.0008	-0.0005	-0.0008	-0.0008	-0.0007	-0.0006	-0.0007	-0.0005	-0.0004	-0.0008	-0.0007	-0.0005	-0.0006	-0.0005	-0.0008	-0.0006	-0.0002	-0.0006	-0.0007	-0.0008	-0.0008	-0.0007	-0.0005	-0.0007	-0.0006	-0.0006	-0.0006	-0.0005	-0.0008	-0.0006	-0.0006	-0.0008	-0.0008	-0.0007	-0.0005	-0.0007	-0.0008	-0.0007	-0.0006	-0.0005	-0.0007	-0.0006	-0.0004	-0.0007	-0.0005	-0.0005	-0.0006
L-Valine_C13-label-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine_C13-label-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine_C13-label-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine_PARENT	1.0468	1.0274	1.0504	1.0383	1.0469	1.0493	1.0324	1.0602	1.0556	1.0548	1.0517	1.0522	1.0416	1.0429	1.0368	1.0455	1.0326	1.0399	1.0437	1.0353	1.0487	1.0388	1.0464	1.0208	1.04	1.0421	1.0546	1.0547	1.0489	1.0399	1.0261	1.0546	1.0356	1.0333	1.0177	1.0453	1.006	1.0088	1.0072	1.0088	1.0087	1.0047	1.0036	1.0079	1.009	1.0062	1.0074	1.0084	1.0051	1.0095	1.007	1.0002	1.0113	1.0058	1.0051	1.0031	1.009	1.0053	1.0087	1.0077	1.0098	1.0103	1.0067	1.0082	1.007	1.0101	1.0077	1.006	1.0071	1.0091	1.005	1.005
L-Arginine_C13-label-1	-0.0468	-0.0274	-0.0504	-0.0383	-0.0469	-0.0493	-0.0324	-0.0602	-0.0556	-0.0548	-0.0517	-0.0522	-0.0416	-0.0429	-0.0368	-0.0455	-0.0326	-0.0399	-0.0437	-0.0353	-0.0487	-0.0388	-0.0464	-0.0208	-0.04	-0.0421	-0.0546	-0.0547	-0.0489	-0.0399	-0.0261	-0.0546	-0.0356	-0.0333	-0.0177	-0.0453	-0.006	-0.0088	-0.0072	-0.0088	-0.0087	-0.0047	-0.0036	-0.0079	-0.009	-0.0062	-0.0074	-0.0084	-0.0051	-0.0095	-0.007	-0.0002	-0.0113	-0.0058	-0.0051	-0.0031	-0.009	-0.0053	-0.0087	-0.0077	-0.0098	-0.0103	-0.0067	-0.0082	-0.007	-0.0101	-0.0077	-0.006	-0.0071	-0.0091	-0.005	-0.005
