	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3
Glc6P_label5	38162.28321	34579.30659	41861.45182	42042.82428	43361.96496	35901.31909	33538.24667	46367.53649	34263.51539	38089.5407	39362.12348	28786.23634	94601.77689	34960.66204	69800.03272	71279.12038	48538.16956	60094.87659	42595.31143	76347.72447	39320.73867	49854.20638	44529.01649	44883.8912	29016.95663	27915.08617	29576.55474	67571.04177	71239.80481	68973.98669	57570.40343	54344.45782	55472.19378	61817.69621	53653.11809	54816.2446
Glc6P_label6	958433.0271	808433.0155	1050812.693	1329430.474	1374496.425	1246825.657	1071767.628	1561154.647	1004425.271	1251805.18	1207353.217	879027.8566	2211493.815	685283.3238	1417240.247	2307190.144	1518075.712	1889821.268	1530055.078	2495310.86	1369507.673	1820988.213	1493605.242	1412393.37	724984.153	713728.8317	650182.1306	2343358.293	2156275.511	2263125.111	1923889.222	1727187.243	1788700.502	1673513.213	1437252.902	1520919.33
Gly3P_label0	10448999.91	9916350.968	10820708.05	2208557.849	1383928.659	1353625.828	1419713.128	1127683.074	813473.5568	1157039.22	1040914.694	935897.788	4549588.972	3982211.263	5067336.143	1719572.044	627381.8726	593266.7847	611704.9323	704640.9152	528195.1552	933590.6437	912742.5501	865608.5595	423212.6774	451451.6342	454842.5205	794689.6709	936293.5985	1626984.773	833595.525	1134203.878	773316.6182	1927492.157	1370422.378	1359403.525
Gly3P_label1	0	0	0	0	0	0	0	0	0	0	0	0	83858.14882	20773.37779	59757.8754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.43682745	0	0	0	0	0
Gly3P_label2	358634.7223	341824.2889	363851.5841	70974.99235	88351.64619	69426.04765	66628.00679	90181.98656	67714.80619	50101.20318	68032.05349	47680.98929	776159.7286	421450.2912	609331.6245	603790.3679	532317.0977	444319.9719	208573.57	256209.3317	261510.769	536125.5484	532222.3407	505802.093	18597.13348	19649.8234	16087.77405	571617.2317	585213.1846	640666.8467	523822.8516	571270.5212	476640.0217	595076.2135	449739.1198	527492.0038
Gly3P_label3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IsoCit_label0	965716.7198	933864.8565	1092476.889	615656.0816	694840.0737	559937.0343	457120.593	379360.9362	584073.9121	697583.7681	473158.9824	659993.3279	959725.8237	1311789.816	1116580.149	356838.4489	239288.8488	202230.5776	187834.2551	222806.6893	447281.783	212032.5541	206301.6659	153716.8453	749160.8053	879399.2573	873163.6787	227513.6855	168636.7226	163765.5062	251116.1604	415766.6494	336087.6673	165647.0647	157452.5473	178652.4617
IsoCit_label1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1292.808105	0	0	0	0	0	0	0	0	0	0	71.78438241	827.9222243	0	7269.266724	12178.2351	8661.734362	0	0	0
IsoCit_label2	29948.15738	29895.23157	37415.70141	27759.10468	20289.42943	21475.94447	0	1046.374034	2183.741253	5311.16642	0	6363.739184	30536.77406	103439.041	82571.25141	197334.5792	166709.5901	87068.84274	57510.1549	42122.26156	167925.5894	38118.03693	33208.49389	37864.11082	0	0	0	91615.25868	47737.92819	37161.06272	95041.17927	173225.7312	177663.1439	17937.428	25545.232	31387.70392
IsoCit_label3	13615.43733	17815.68247	18347.64603	22115.86576	27343.21092	20437.94165	0	5910.764849	9662.607958	13118.74781	0	4512.64719	12610.27303	55289.17322	44697.62776	56495.29875	54485.9662	25860.76768	23012.55879	13086.53608	78412.59896	7252.316036	7696.220566	8889.769583	5736.918963	24758.0103	38087.10367	42414.21092	27840.78472	17957.45312	70572.29252	143282.2904	128114.4025	6776.501391	9083.348518	11554.5211
