	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3
Fru1P	38125917.4301	35527749.3625	37420913.74910001	8649509.40162	9221146.82622	8713093.07956	8907478.66592	9545823.75025	8208972.10777	8302284.94651	8730239.32785	8757427.713380001	22736531.93292	27618711.74719	22693657.700050004	7263530.71345	6382941.54406	5544896.26774	6910226.81038	8344659.90083	8330031.3364	6213216.511329999	4876549.66768	5384081.009000001	2675966.46168	2823105.7566	2999795.04084	1926204.25857	1809790.5315	1997034.48194	2648938.53595	3124944.944	2865665.5819699997	1283394.0494900001	910454.32365	1174818.5579600001
Serine	1809289296.155899	1672740652.4895353	1542838575.2297838	773712972.5683433	1423520249.5635524	1543945499.3669956	2713526821.8698826	2207004367.3890944	1742001456.6645358	1231251909.38425	1301789942.5492811	1180874533.23306	1145035875.2586908	281367139.0461921	1019760469.4560195	1965385721.033115	1753994669.6276615	1605392680.7836072	2159629294.7193837	2380222484.2914853	1669846880.081152	1864410360.1110482	2068291253.5158648	1717102649.7891054	2217376808.0947237	1131386093.1488752	1285359225.1012387	1261364297.0920243	2028252369.8041196	2055558112.1966398	1510749819.7276082	1281912640.1176648	1215837905.740402	1845203546.4103198	1540903682.8248036	1802795164.0457723
6-PG	3458179.218413	3194460.97909	3641506.34847	8274272.110725	9312818.634218	7860563.430675	4971146.1295179995	5897818.593005001	5245639.004984	6063148.923217	8458124.07548	9902065.467414001	4009881.7292	4068603.12665	4305688.914967	17769536.24858	14448875.911600001	15362906.15529	7254720.0459	9784337.54046	10212362.53181	13206099.40235	9341520.27111	11626816.80629	1272239.434813	1390994.8016229998	1477360.701829	13653417.784664	11259851.946936999	9181955.437929	8239104.992843	11057352.87255	10810766.51609	4835294.623232	2975614.11154	4462008.850759
CMP	1796741.187	1468377.458	1641099.636	2104346.331	1898991.26	1937059.749	1875391.734	1931424.95	1701137.755	1588208.87	2032859.354	1624673.181	361649.7837	326256.6021	336613.1459	1261049.8005600001	716871.07791	730962.07905	581493.21307	850993.66666	625550.71038	895908.2488399999	763885.56786	840447.44968	0.0	0.0	0.0	1806458.687602	1548201.207899	1743124.104522	1129550.50248	1289052.15591	1091437.10753	1537727.62293	838984.12493	888432.94145
FruBP	76234921.8138	77888151.12560001	81186476.9539	38638958.584489994	35926915.2997	36271464.00191	25973687.94582	29821452.087222	29669485.3293	36022718.938718	30906424.25628	34347712.67397	45920292.798760004	52505163.94273999	44867695.283	15919121.42811	12742908.812899	9752470.462171	7912973.4895	5935956.445156	9868031.227996001	13669959.494078	9310129.30391	11362565.02401	3208705.2265000003	3013159.6563399998	3393015.4663899997	9691508.148230001	9526268.508186	7891994.502111	8575173.300213	10855644.943837998	9736037.48601	7788246.218594	4098444.19467	4879799.554049999
Glutamine	199640467.25782722	137160554.00879085	121407967.59751102	15391319.615471464	49113624.6255005	55209689.71713121	261727838.59305826	203690012.41162947	81510374.5362814	40028585.74178115	47815886.65986562	20918805.089340493	6761099.3833379345	7508699.994419468	38428889.1870765	35714798.47397325	26092787.779812228	24728459.98436369	22362713.36149868	31693189.89682068	17289710.41499075	40518593.01835923	59040202.82861364	38063530.415253185	137219782.21817973	36801958.215131104	52969274.94451278	54880408.47169451	150143772.5461017	245765333.046251	32529647.519414593	22283699.633936033	30801804.47293767	74033896.4866838	68248355.03231283	99205469.53877516
PEP	94468.66346000001	74836.97128	118450.57048	372560.40297	389149.56301800004	221809.04682	222878.9184	224665.6206	342433.964374	719290.901664	751408.937968	1096653.02605	382093.502899	1003635.95005	836291.51198	901546.463227	300696.507413	781344.878908	478676.8099	759302.8872700001	648802.705854	691362.413607	290087.3463	723495.357316	449563.169703	670819.569178	752169.232006	354425.42185	72035.56932	40410.94023	82991.30241	218446.711963	380352.678395	19768.4387	30299.446457	20345.05623
Alanine	53829788.41727287	53942444.210319325	46832534.24801372	26433669.23424036	29757276.54221551	33874687.11508232	57773602.35538117	60163065.55141784	37321595.94941213	27364629.01524257	30005646.018892072	21166397.49812178	31479014.458224222	51526998.513032466	101787343.37213372	114131556.02470112	105304217.6372259	88728111.31876725	98207075.85241252	147089704.4143891	105917543.93962759	101712128.63044639	125010423.397338	104811233.70866537	127232283.36030874	108019031.84711432	131087701.08246517	121104790.73479784	137093840.39496672	215173581.89759532	81674058.64953503	80894471.15240411	105719467.5550508	95088122.04637776	102989430.67143756	115979825.58548892
2_3-PG	8311914.988299999	7771852.78131	8898422.55703	8698700.9926	10718305.7217	8434329.0684	7077503.652509999	8354130.874600001	8468784.338	12286964.5295	12019744.893	14090833.6695	6369879.98689	7127045.47675	7660166.43242	10724272.97107	8536357.58654	12154523.194500001	6233353.72872	10924679.80858	7928090.5421	9205926.67059	6236145.46361	8265085.22879	2555844.6067999997	3128002.6344000003	3445441.26913	6699162.82886	4718837.71096	3680900.9615300004	4046822.24969	5585902.362439999	6524633.24776	1704283.84662	1566943.20859	1731889.94171
Aspartate	65179087.68448392	69924111.3279175	52573884.485860996	4153600.4715071535	23560016.546284568	29539008.56869125	51804935.91942704	63010210.07258524	33831900.416338585	11609023.76252841	18694451.181462716	7205992.314475729	19775799.018075164	2142009.473712417	17361469.81302295	20479103.26962672	28642684.62216362	23907702.279979333	39254032.92638488	50574169.79948776	29625003.1432261	25069968.443545517	39980046.698677935	22017758.328014188	46069200.7319009	17682703.152351305	23874610.38737188	12473185.459740091	29407600.594287414	18531224.456005134	21557636.175296992	7298858.314842576	8546187.555122979	13130463.32522742	17751081.8760293	21413041.01864395
GTP	6800228.0620800005	6407763.214570001	7733991.92148	12846360.211278	8724055.649473	9029836.062936999	5713710.51253	6503571.054577	7496360.8673	14732857.999119999	8345585.282311	13999137.584	2076215.7088600001	3080776.784613	2291962.487588	11838142.32576	4862598.134269999	5116410.71038	3873562.1637399998	2592214.45679	5172081.24827	10294850.494590001	6259798.823159999	8869312.39745	340029.265438	208237.35418999998	175851.57536000002	5629518.41591	3301771.274969999	3342714.85842	4483120.099630001	9748373.44083	7799421.55173	4429480.76691	2830226.890063	2385827.072892
IsoCit	1009280.3145099999	981575.7705399999	1148240.23644	686751.7917999999	765537.5006919999	615948.7825320001	457120.593	386318.075083	595920.261311	716013.68233	473158.9824	670869.714274	1031233.8336499999	1563813.7801100002	1323355.84241	1173628.11465	958226.4224050001	553657.11232	429334.57545	417922.89671	1238197.12356	335685.77552600007	320298.21777600003	292710.095363	754897.724263	904157.2676	911250.78237	563980.47622241	339644.69630430004	288828.01499	617500.638964	1123317.5145	1009293.665262	226642.621821	240274.307618	279211.61459
GMP	3386120.18057	3291518.25397	3131326.67467	1040843.97418	983805.82424	1281871.9579	699368.01339	933106.06753	1150461.29492	1213313.93365	968574.1468400001	917155.25974	10207481.249699999	11330369.2087	12227732.030900002	955450.71251	624256.36527	1130300.53746	651178.119614	1224717.60204	572043.7102069999	1091252.62623	666213.3196350001	847038.02838	2787313.52948	3100731.8891200004	3205836.08983	2172991.3718	1950828.9539599998	1821619.68152	1965802.19632	2123830.15325	2076095.2334099999	5321079.08557	5051415.02809	3656173.09958
Glutamate	59224541.2996	47159295.57570001	40795840.7706	8642056.8426	17149266.2103	15388530.824900001	26910894.460400004	26503157.946599998	12226757.309	11265122.499399997	14288229.54383	5869610.6483	19043926.045199998	6296072.9068	23806024.663000003	47245553.7829	42301398.0359	31198144.690629996	51615245.169300005	86398836.91199999	41053102.4157	18533408.926	23697802.412	17684815.189	16880806.995699998	13017979.5433	17683369.961000003	23848409.2742	48675096.33100001	104535786.398	32594835.849	25543631.6	24464397.085899998	13842717.457060002	11101257.076999998	13648262.495499998
Mal	12348806.960590001	17115815.708300002	17368601.3774	16359379.550800001	21696115.306900002	22561431.827600002	14536665.81681	19120329.735479996	19114573.37135	15244892.886	17291837.32571	21436832.016	38621620.34	52011693.102	47386312.392000005	30979835.452200003	28483388.116600007	28017337.266799998	21257591.966900002	27453870.5691	25898125.745	37124830.521	39306484.8654	35278840.3289	25893012.374	30322020.648	31552071.084	15755815.997000001	14113889.33	10159557.635400001	14151863.124	20070376.849	17098078.44	16799414.335	19855378.282	18547202.623999998
2-OHGLu	7063592.483150001	7407917.848538	7505947.034348	5705654.5664	6325802.73618	5851892.805790001	3397242.04063	4406224.692430001	3641860.7424999997	5938416.940944001	7582383.6291499995	7903333.70709	4752537.82549	4966304.62725	5483598.24559	16140446.4976	13721863.2852	11338283.1536	4496088.5606	4320671.5557	6635937.6671	10111613.7397	10188298.3657	9475427.1345	3373345.61683	3426388.69792	3988439.5147	27165916.7545	26811103.572400004	27391006.813699998	18930377.4366	21924767.0073	20126417.650599997	26362483.1589	19664735.89344	22660528.854399998
Sed7P	708695.620696	648486.242248	735138.17772	405451.02691599994	404632.682093	364712.906644	358174.64185200003	448405.35137000005	357659.653392	277739.4316	0.0	341067.03229999996	1833902.935281	1664590.47047	1564453.296912	4256316.13784	3311139.573476	2524078.1755	1836962.0158980002	1779989.194811	2748292.7206030004	3097496.97328	2441952.8015779997	2724905.87958	876092.449908	910227.8361500001	826018.8050500001	9313016.034649998	8740185.845269999	8309858.899860052	8059980.14614	9488504.05881	8250941.467879999	9799824.9188	8205851.3708	8704836.46411
GDP	11605533.5943	12723190.385000002	13594445.947800001	9123811.404098999	9618774.8438531	9826365.493957998	5501423.37874	8720626.336818	9521747.751864001	13540160.36708	9985340.637839999	12431767.6645	9095920.66285	9119026.621089999	9465402.95706	9949031.84874	7448744.72431	9359487.131479999	6693694.51367	7255293.398519999	8341382.397849999	11509532.84217	7643494.510989999	10338949.95633	537259.61227	533528.60959	504034.93573300005	11995311.14465	9173261.543	7867279.736613	11058492.46972	14624049.64134	13559872.98882	10127963.17375	7459162.906939999	6213476.63221
