	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3	AB_T0_med-1	AB_T0_med-3	Cont_T0_med-1	Cont_T0_med-3	Cont_T24_med-1	Cont_T24_med-2	Cont_T24_med-3	Cont_T48_med-1	Cont_T48_med-2	Cont_T48_med-3	A_T24_med-1	A_T24_med-2	A_T24_med-3	A_T48_med-1	A_T48_med-2	A_T48_med-3	B_T24_med-1	B_T24_med-2	B_T24_med-3	B_T48_med-1	B_T48_med-2	B_T48_med-3	AB_T24_med-1	AB_T24_med-2	AB_T24_med-3	AB_T48_med-1	AB_T48_med-2	AB_T48_med-3	B_T0_med-1	Cont_T0_med-2	A_T0_med-3	A_T0_med-1	B_T0_med-3	AB_T0_med-2	A_T0_med-2	B_T0_med-2
Serine	1809289296.1559	1672740652.48954	1542838575.22978	773712972.568343	1423520249.56355	1543945499.367	2713526821.86988	2207004367.38909	1742001456.66454	1231251909.38425	1301789942.54928	1180874533.23306	1145035875.25869	281367139.046192	1019760469.45602	1965385721.03311	1753994669.62766	1605392680.78361	2159629294.71938	2380222484.29149	1669846880.08115	1864410360.11105	2068291253.51586	1717102649.78911	2217376808.09472	1131386093.14888	1285359225.10124	1261364297.09202	2028252369.80412	2055558112.19664	1510749819.72761	1281912640.11766	1215837905.7404	1845203546.41032	1540903682.8248	1802795164.04577																																				
Glutamate	59224541.2996	47159295.5757	40795840.7706	8642056.8426	17149266.2103	15388530.8249	26910894.4604	26503157.9466	12226757.309	11265122.4994	14288229.54383	5869610.6483	19043926.0452	6296072.9068	23806024.663	47245553.7829	42301398.0359	31198144.69063	51615245.1693	86398836.912	41053102.4157	18533408.926	23697802.412	17684815.189	16880806.9957	13017979.5433	17683369.961	23848409.2742	48675096.331	104535786.398	32594835.849	25543631.6	24464397.0859	13842717.45706	11101257.077	13648262.4955																																				
UMP	22414126.919844	22200939.191369	23965632.092842	29113743.746113	27845070.620796	27707100.299045	26698043.974471	31675178.89544	31212299.13234	32089755.904439	27951281.216993	31186822.96665	14242570.48734	16538640.42151	15718468.232	31071457.37046	23274629.08901	22531573.45222	27435163.3924	29938227.79383	32382997.60128	29558428.62852	22071825.09689	25800139.50541	5042657.17414	5393280.61081	5619215.32339	13268663.65592	10910212.82281	11124418.94153	13819055.901112	18598552.462	17302581.35905	10977306.98951	8089179.65619	7899956.10326																																				
PRPP	234474.133217	164502.789747	262445.206426	3265374.30386	1403175.78537	1379308.26422	1180413.56085	773075.779797	801459.95767	2189493.12492	1306703.29191	2188660.90715	63172.7238900007	69121.8781200004	65560.8814100006	4685589.198954	1127901.105599	1158352.25635	1376218.785801	1097430.199629	1862788.692538	1932711.36905	859269.358833	1525417.66951	0	0	0	152387.2436	74274.2891200003	198096.620929	104256.2858	756955.660923	520729.090104	102830.6438	37976.36694	30914.466																																				
ADP	35865981.5911739	37606436.731661	39137289.74639	34025169.109877	37691400.360171	38199381.87537	27566805.213464	38140702.959879	39021842.263421	43094701.212975	39750216.607002	42807670.917273	17217185.7516	19933835.5135	17531566.483	37723605.07656	32519284.07825	36921541.01683	30674229.41054	33145654.095286	33263131.116	41534929.04311	30774772.132719	36960819.8586221	4934349.69922	5374528.7505	4912913.8039	42215671.63632	36876978.895378	30298640.929678	31949245.64508	37158876.47555	36907952.23684	30269367.770272	24722173.300013	23203502.673994																																				
GDP	11605533.5943	12723190.385	13594445.9478	9123811.404099	9618774.8438531	9826365.493958	5501423.37874	8720626.336818	9521747.751864	13540160.36708	9985340.63784	12431767.6645	9095920.66285	9119026.62109	9465402.95706	9949031.84874	7448744.72431	9359487.13148	6693694.51367	7255293.39852	8341382.39785	11509532.84217	7643494.51099	10338949.95633	537259.61227	533528.60959	504034.935733	11995311.14465	9173261.543	7867279.736613	11058492.46972	14624049.64134	13559872.98882	10127963.17375	7459162.90694	6213476.63221																																				
UTP	12400714.191078	11700718.521492	12965857.774221	37904488.04698	32947660.03249	33304028.11391	27213085.39664	29048054.00983	31250400.53398	43742500.72534	31181619.80479	39858022.33986	3332328.322889	3328949.45694	1787913.73905	41928292.11219	30037598.8316	29148837.12495	29003304.8333	25877352.7281	34818234.90355	36665144.25218	28876088.73832	34762725.227	2067567.1725	2111074.909848	2244206.740987	9625777.087775	6830399.584145	7661163.038337	10130849.714817	17800014.59854	15514922.995114	5049872.848812	3759237.039068	3756702.388074																																				
Fru1P	38125917.4301	35527749.3625	37420913.7491	8649509.40162	9221146.82622	8713093.07956	8907478.66592	9545823.75025	8208972.10777	8302284.94651	8730239.32785	8757427.71338	22736531.93292	27618711.74719	22693657.70005	7263530.71345	6382941.54406	5544896.26774	6910226.81038	8344659.90083	8330031.3364	6213216.51133	4876549.66768	5384081.009	2675966.46168	2823105.7566	2999795.04084	1926204.25857	1809790.5315	1997034.48194	2648938.53595	3124944.944	2865665.58197	1283394.04949	910454.32365	1174818.55796																																				
Aspartate	65179087.6844839	69924111.3279175	52573884.485861	4153600.47150715	23560016.5462846	29539008.5686912	51804935.919427	63010210.0725852	33831900.4163386	11609023.7625284	18694451.1814627	7205992.31447573	19775799.0180752	2142009.47371242	17361469.813023	20479103.2696267	28642684.6221636	23907702.2799793	39254032.9263849	50574169.7994878	29625003.1432261	25069968.4435455	39980046.6986779	22017758.3280142	46069200.7319009	17682703.1523513	23874610.3873719	12473185.4597401	29407600.5942874	18531224.4560051	21557636.175297	7298858.31484258	8546187.55512298	13130463.3252274	17751081.8760293	21413041.0186439																																				
6-PG	3458179.218413	3194460.97909	3641506.34847	8274272.110725	9312818.634218	7860563.430675	4971146.129518	5897818.593005	5245639.004984	6063148.923217	8458124.07548	9902065.467414	4009881.7292	4068603.12665	4305688.914967	17769536.24858	14448875.9116	15362906.15529	7254720.0459	9784337.54046	10212362.53181	13206099.40235	9341520.27111	11626816.80629	1272239.434813	1390994.801623	1477360.701829	13653417.784664	11259851.946937	9181955.437929	8239104.992843	11057352.87255	10810766.51609	4835294.623232	2975614.11154	4462008.850759																																				
