metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T0-1	input_L-Cycloserine_cell_T0-2	input_L-Cycloserine_cell_T0-3	input_L-Cycloserine_cell_T1h-1	input_L-Cycloserine_cell_T1h-2	input_L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	geommean_1	geommean_0
L-Arginine	-0.07216937059479672	-0.6546536707079772	0.25634538013096164	0.26916264913750976	-0.19470768135112515	0.9512065993105645	('0/3', '0/3')	-0.6321438390238372	3.2466302029649445	cell	12848074.6	13019470.6	11333808.3	8717740.0	10772080.1	17375140.1	4.818184046536874	4.88245962856379	4.250315789539953	3.2692583984417687	4.039660890966288	6.515888601406713	4.414917605912676	4.6413866441976035
L-Alanine	-0.09270365521308335	-0.6546536707079772	0.25634538013096164	0.26916264913750976	-0.2479025459205954	0.9377637032360573	('0/3', '0/3')	-0.7609609945368909	3.069597335965364	cell	24452809.6	22135270.19	18560976.2	19682863.3	21143463.8	19908120.1	12.739715146227361	11.532295941378369	9.670117810261997	10.254611875116906	11.015572869653797	10.371968837923777	10.542149551277204	11.241797389788177
Pyruvic_acid	0.08420673905070833	0.6546536707079772	0.25634538013096164	0.26916264913750976	-0.36857866058583955	1.0601046861402479	('0/3', '0/3')	-1.143533519134607	3.1025494458008254	cell	1875311.6333333333	2239637.6333333333	2127901.6333333333	2333003.6333333333	1698515.6333333333	2686977.6333333333	5.8861616012574824	7.029695120392089	6.678982129021656	7.3227490077004935	5.3312405908192435	8.433790036620069	6.905181078803553	6.513678478249858
L-Serine	-0.030644545793768112	-0.6546536707079772	0.25634538013096164	0.26916264913750976	-0.4203269396069234	0.9789828245111627	('0/3', '0/3')	-1.1994601189129561	2.8536360767992974	cell	60262908.156666666	64646815.156666666	64200953.156666666	58055280.156666666	59023710.156666666	68485035.15666667	16.488250089163817	17.687710208076773	17.56572000902858	15.884231403686329	16.149198968682317	18.737867480485626	16.876373092960794	17.238681486968584
Hexose-phosphate	-0.07316524583163694	-0.6546536707079772	0.25634538013096164	0.26916264913750976	-0.4456972653318089	0.9505502192741606	('0/3', '0/3')	-1.3232611718899765	2.968968568619882	cell	843870509.5666667	818259399.5666667	755642759.5666667	684857799.5666667	826514289.5666667	791694749.5666667	15.756130556410724	15.277938715032343	14.108806788203434	12.787161987790842	15.432067960093411	14.781943074895224	14.2881699249815	15.03147296719571
L-Histidine	-0.06752476440643429	-0.6546536707079772	0.25634538013096164	0.26916264913750976	-0.4616685637780087	0.9542738444198654	('0/3', '0/3')	-1.3720645739714339	2.971968814041203	cell	30638205.633333333	28288641.633333333	27442366.633333333	24527678.133333333	26794048.53333333	31450044.633333333	13.15385304439575	12.145118396411727	11.781788470424317	10.530429802164766	11.503447071600887	13.50239861620597	11.782252898167146	12.346825774450485
Fumaric_acid	0.0075418809683117215	-0.2182178902359924	0.41362967328135564	0.41362967328135564	-0.3738225440345889	1.0052413214468736	('0/3', '0/3')	-1.1766585633972337	3.147639387121501	cell	2781852.883333333	5501278.903333336	1434830.653333336	3762842.74333334	2242712.7133333385	2643137.4733333364	2.1532967263895495	4.258271860627413	1.1106324735059117	2.912633162480389	1.7359745990831554	2.0459238886516795	2.1789112598632525	2.167550431300497
L-Lactic_acid	-0.188539953367223	-0.6546536707079772	0.25634538013096164		-0.5177201127346995	0.8774933192166705	('0/3', '0/3')	-1.4607585414786586	2.821521717135238	cell	2199680624.093333	2542765424.093333	2775415764.093333	2080013094.0933328	1757371814.0933332	2869430484.093333	5.581042456726618	6.451519204162075	7.041800998205277	5.2774213044982625	4.458813974757009	7.280335691892247	5.553892995553164	6.3292709744059
Glycine	-0.031524790521444176	-0.2182178902359924	0.41362967328135564		-0.5651260947205288	0.9783856909473919	('0/3', '0/3')	-1.652035539177561	2.923304293698454	cell	50433589.71666667	49423644.81666667	44435800.11666667	42265751.516666666	52878939.71666667	46413743.61666667	13.891464712305565	13.613284752906667	12.239429173128004	11.641709405008342	14.565013698706796	12.784235372479387	12.941982351408283	13.227894143541985
Fructose_1,6-bisphosphate	-0.3867801157671789	-0.7745966692414834	0.2192890130404999			0.7648347001488461	('1/3', '1/3')	-0.4230632288225058		cell	77200.80333333333		58013.34333333334	41287.14333333333	63455.61333333334		6.0013231842395225		4.5097564702575506	3.2095195878663816	4.932819699080056		3.9789422523593614	5.202355818302975
