metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_med_T24h-1	input_L-Cycloserine_med_T24h-2	input_L-Cycloserine_med_T24h-3	input_L-Cycloserine_med_T6h-1	input_L-Cycloserine_med_T6h-2	input_L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	geommean_24	geommean_6
L-Serine	-0.04482567962757845	-1.091089451179962	0.13761676203741713	0.1720209525467714	-0.27418809667034705	0.9694069429843034	('0/3', '0/3')	-0.8410216021158732	3.067316241401329	med	88982888.15666667	85230100.15666667	92006836.15666668	91529537.15666668	89834464.15666667	93153026.15666668	34.44922469927668	32.996353931212454	35.619929160425635	35.43514553696322	34.77890755830976	36.06367017261378	34.338354961421686	35.42202292848411
L-Valine	0.01846725452958085	1.091089451179962	0.13761676203741713	0.1720209525467714	-0.4368591080575179	1.0128828028251575	('0/3', '0/3')	-1.2962397414149862	2.96718030483256	med	637703679.4966667	622303362.1966666	626345397.5966667	634953588.1966666	608746457.8966666	618840800.3966666	65.34403832865507	63.766003018087424	64.18018114594746	65.06224275950241	62.376858023822514	63.411202225416574	64.42662305606349	63.60718424319495
L-Proline	0.3170497494781692	0.6546536707079772	0.25634538013096164	0.27465576442603035	-0.1658179845551215	1.2457803739585835	('0/3', '0/3')	-0.489326539771858	2.9509859324649748	med	5249305.133333333	14286061.333333334	11904169.223333333	8653770.533333333	7155313.833333334	7456841.373333333	1.714179873933397	4.665165806398372	3.887350188305309	2.8259205561666683	2.3365940163948102	2.4350589422042246	3.1443125828129066	2.5239702346743185
Hexose	0.03932553834795998	0.6546536707079772	0.25634538013096164	0.27465576442603035	-0.16683662299372978	1.02763329454949	('0/3', '0/3')	-0.469254765951888	2.8126604191066846	med	28347932.64333333	26292502.64333333	27844184.64333333	26564763.64333333	26907684.64333333	26754142.64333333	38.791449044436405	35.97878862532972	38.10211782867904	36.35135190326495	36.820606669216836	36.610499048879255	37.604852120510486	36.593649038002695
L-Lysine	0.0009223836721883437	0.2182178902359924	0.41362967328135564	0.41362967328135564	-0.2756460596071269	1.0006395520680396	('0/3', '0/3')	-0.913049552911616	3.312398349582679	med	118976574.71333334	117859840.71333334	119791589.71333334	118569342.71333334	118721623.71333334	119101821.71333334	204.01087807962963	202.09599790703845	205.40839625662113	203.31259139502555	203.5737098597292	204.22564094793717	203.83389814863932	203.70361907779096
L-Methionine	0.026131720826635455	1.091089451179962	0.13761676203741713		-0.5171772265570436	1.0182781662718168	('0/3', '0/3')	-1.4428197473419928	2.789797526366627	med	127144850.02666669	124138283.98666668	121377941.07666668	125014811.20666668	120112695.58666667	120835515.58666667	50.44092690527571	49.24816150559403	48.1530777886554	49.595897535997395	47.65112937890908	47.937886654394674	49.271869861293574	48.38743625594056
L-Alanine	0.1037615851790752	1.091089451179962	0.13761676203741713		-0.5278978121467296	1.0745715781780822	('0/3', '0/3')	-1.4368505227223345	2.7218345855219432	med	2115404.8800000004	1949609.5	2379571.3800000004	1895489.0	1889533.49	2208299.43	11.749667285453974	10.82878420964987	13.21693651240351	10.52818082429585	10.495101926881567	12.265634732372204	11.891738689259281	11.066492852362167
Pyruvic_acid	0.020478061826855184	1.091089451179962	0.13761676203741713		-0.6314700124108034	1.0142955283859496	('0/3', '0/3')	-1.6147391542415548	2.557111379013648	med	2037112199.0333333	2125653005.9333327	2113603472.233333	2058883585.8333333	2032464226.0333333	2095958119.0333333	55.89860485420617	58.3281752925572	57.99753463207058	56.496014338297805	55.77106391354355	57.513344008447724	57.39793886187394	56.58896964005292
L-Arginine	0.003423380311336854	0.2182178902359924	0.41362967328135564		-0.7182771088382225	1.0023757239813744	('0/3', '0/3')	-1.9801706481910344	2.7568338512052293	med	75312587.1	73886599.1	75854911.1	75045885.1	76113451.1	73373127.1	75.76632892282899	74.33174965781784	76.31192030600887	75.49802010176107	76.57201795281655	73.81518410161132	75.46536222532862	75.28650227639679
L-Glutamine						46672723412.041595	('0/3', '3/3')	-2.3937188702045407		med	3195203.6833333345	1882740.083333335	2785754.783333334				5.827528741324376	3.4338098711198355	5.080760938914851				4.66727234120416	0.0
